date,CanadaGoose_followers_Weibo,SmartPhoto_followers_Instagram_Belgium,CanadaGoose_followers_Instagram,SmartPhoto_followers_Instagram_France,SmartPhoto_followers_Instagram_Netherlands,SmartPhoto_followers_Instagram_Germany,SmartPhoto_followers_Instagram_Denmark,SmartPhoto_followers_Instagram_Suisse,SmartPhoto_followers_Instagram_Sweden,SmartPhoto_followers_Instagram_Norway,SmartPhoto_followers_Instagram_Finland,SmartPhoto_followers_Instagram_UK,SmartPhoto_followers_Pinterest_Belgium,SmartPhoto_followers_Pinterest_Netherlands,SmartPhoto_followers_Pinterest_France,SmartPhoto_followers_Pinterest_Suisse,SmartPhoto_followers_Pinterest_UK,SmartPhoto_followers_Pinterest_Sweden,SmartPhoto_followers_Pinterest_Germany,CanadaGoose_followers_Pinterest
2020-05-25,270076,4049,626200,590,2755,434,3558,1073,5546,1292,1109,698,3224,146,274,19,3,51,9,3034
2020-05-26,270863,4049,626000,593,2757,434,3556,1074,5542,1293,1109,710,3225,146,274,19,3,51,9,3039
2020-05-27,270866,4051,625800,593,2771,432,3560,1073,5548,1293,1107,713,3226,147,274,19,3,50,9,3045
2020-05-28,272048,4058,625400,593,2785,432,3560,1072,5553,1295,1106,718,3228,147,274,19,3,50,9,3048
2020-05-29,272840,4065,625300,594,2795,432,3560,1072,5551,1295,1107,728,3231,147,274,19,3,50,9,3051
2020-05-30,273428,4075,625100,592,2800,432,3557,1071,5550,1296,1106,778,3235,147,274,19,3,50,9,3054
2020-06-02,275411,4083,624400,596,2800,429,3552,1071,5554,1296,1106,852,3241,147,275,19,3,50,9,3064
2020-06-04,276592,4086,624000,594,2799,429,3552,1070,5561,1295,1105,851,3250,147,275,19,3,50,9,3072
2020-06-04,276592,4086,624000,594,2799,429,3552,1070,5561,1295,1105,851,3250,147,275,19,3,50,9,3072
2020-06-06,277615,4086,623700,593,2800,425,3551,1070,5592,1295,1103,851,3258,147,275,19,3,50,9,3076
2020-06-15,281741,4102,622600,623,2803,429,3544,1067,5607,1293,1101,855,3284,147,276,19,3,50,9,3094
2020-06-16,282155,4101,622400,624,2804,429,3545,1067,5604,1293,1101,852,3286,147,276,19,3,50,9,3098
2020-06-17,282557,4102,622300,625,2808,429,3546,1067,5605,1293,1100,853,3290,147,277,19,3,50,9,3102
2020-06-18,282946,4109,622100,624,2817,428,3546,1068,5605,1293,1101,853,3292,147,277,19,3,50,9,3102
2020-06-19,283468,4113,622000,624,2826,429,3546,1069,5602,1293,1101,853,3295,147,277,19,3,50,9,3108
2020-06-22,284425,4112,621400,625,2831,426,3544,1068,5600,1291,1100,854,3302,147,281,19,4,50,9,3114
2020-06-23,284417,4122,621300,625,2831,426,3545,1066,5597,1291,1099,854,3302,147,282,19,4,50,9,3115
2020-06-23,284417,4122,621300,625,2831,426,3545,1066,5597,1291,1099,854,3302,147,282,19,4,50,9,3115
2020-06-25,284800,4125,621000,624,2833,427,3545,1065,5595,1291,1101,853,3304,147,282,19,4,50,9,3119
2020-06-26,284790,4125,620800,625,2831,427,3544,1065,5595,1292,1101,861,3306,147,282,19,4,50,9,3120
2020-06-27,284783,4125,620600,625,2833,427,3543,1064,5592,1292,1099,860,3309,147,282,19,4,50,9,3120
2020-06-29,286378,4124,620400,627,2840,427,3538,1065,5587,1291,1097,861,3314,147,282,19,4,50,9,3127
2020-07-01,287081,4140,620000,627,2850,432,3538,1063,5589,1291,1098,863,3316,147,282,19,4,50,9,3134
2020-07-01,287081,4140,620000,627,2850,432,3538,1063,5589,1291,1098,863,3316,147,282,19,4,50,9,3134
2020-07-02,287476,4146,619900,628,2853,432,3536,1063,5590,1291,1097,862,3318,147,282,19,4,50,9,3139
2020-07-03,287878,4146,619800,631,2852,431,3536,1063,5585,1293,1096,862,3319,148,282,19,4,50,9,3142
2020-07-04,287866,4146,619700,631,2851,430,3535,1064,5586,1294,1096,862,3321,148,282,19,4,50,9,3144
2020-07-05,287857,4148,619500,631,2853,430,3533,1065,5585,1294,1096,863,3324,148,282,19,4,50,9,3147
2020-07-06,288653,4147,619500,631,2847,430,3530,1065,5581,1294,1097,865,3323,148,282,19,4,50,9,3152
2020-07-08,289549,,,,,,,,,,,,3327,148,282,19,4,50,9,3153
2020-07-10,290352,4150,618800,629,2845,431,3531,1065,5582,1292,1095,867,3328,148,282,19,4,50,9,3157
2020-07-11,290371,4149,618700,629,2849,431,3530,1067,5585,1291,1095,868,3328,149,282,19,4,50,9,3159
2020-07-13,291571,4150,618400,627,2850,431,3527,1071,5578,1290,1095,869,3332,149,283,19,4,50,9,3163
